0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
0,330,966,490,558,1046,895,768,633,732,671,837,1102,575,523,1168,487,688,206,725,785,899,191,620,69,939,901,333,375,828,356,674,883,186,531,743,729,706,875,1071,622,343,473,754,265,808,290,619,769,1048,1069,893,701,243,86
330,0,648,757,888,766,1225,1059,349,414,1001,1128,1399,700,205,1439,283,979,150,711,679,665,320,950,399,1210,1231,437,571,1099,686,1004,1213,164,296,463,753,388,899,1342,418,109,612,1025,593,653,620,301,1040,768,751,1164,972,210,244
966,648,0,1057,1430,391,1567,1359,359,234,1430,1416,1687,826,443,1634,501,1290,760,545,383,434,956,1379,1035,1405,1636,811,945,1294,1115,1368,1618,812,518,245,754,331,919,1537,423,623,839,1220,967,305,1128,369,1169,306,143,1359,1099,820,880
490,757,1057,0,544,999,530,313,905,1098,422,382,653,244,912,682,759,233,673,628,773,1366,681,421,483,453,579,320,186,342,258,311,561,593,998,1015,419,1099,434,585,818,810,218,268,225,796,369,1012,283,1110,1167,407,215,733,576
558,888,1430,544,0,1468,510,474,1191,1290,122,537,717,783,1081,919,1045,424,764,1112,1172,1457,749,130,489,724,446,619,573,613,323,364,428,744,1089,1301,958,1264,978,856,1180,901,685,759,463,1195,376,1177,803,1483,1540,600,735,801,644
1046,766,391,999,1468,0,1479,1271,417,536,1421,1328,1599,755,561,1546,559,1232,878,371,334,770,1036,1417,1115,1317,1578,849,966,1206,1153,1310,1560,880,656,453,580,633,745,1449,461,741,854,1132,1005,343,1166,614,1072,119,343,1271,1002,938,960
895,1225,1567,530,510,1479,0,246,1424,1617,396,151,207,774,1418,411,1278,297,1101,1108,1270,1794,1086,395,887,394,173,839,705,283,545,221,137,1081,1426,1534,899,1601,859,382,1328,1238,748,493,687,1293,658,1514,582,1590,1677,220,558,1138,981
768,1059,1359,313,474,1271,246,0,1207,1400,352,95,366,557,1214,479,1061,80,974,900,1062,1667,959,351,760,250,417,622,488,139,418,110,381,895,1299,1317,691,1401,651,382,1120,1111,531,285,523,1085,531,1314,374,1382,1469,126,350,1011,854
633,349,359,905,1191,417,1424,1207,0,197,1204,1276,1547,732,144,1540,146,1127,461,544,382,509,623,1153,702,1311,1434,585,719,1200,889,1205,1416,467,239,114,720,284,875,1443,145,324,697,1126,741,304,902,197,1075,419,473,1265,1005,521,547
732,414,234,1098,1290,536,1617,1400,197,0,1397,1469,1740,925,209,1733,339,1320,526,690,528,340,722,1346,801,1504,1627,778,912,1393,1082,1398,1609,578,284,83,899,97,1064,1636,338,389,890,1319,934,450,1022,135,1268,467,337,1458,1198,586,646
